Token,DocuScope Category,Count,Document Count,Frequency (per mil. tokens),% of Documents
can be,ConfidenceHedged,27396,13510,154.01,31.62
guys,CharacterTypes,27293,9252,153.44,21.66
woman,CharacterTypes,27224,10676,153.05,24.99
to get,PurposePlan,27022,15204,151.91,35.59
case,ExpertVocabulary,26667,10544,149.92,24.68
education,ExpertVocabulary,26426,6792,148.56,15.90
", too",ReaderDirectedMetadiscourse,26027,12577,146.32,29.44
kids,CharacterTypes,25937,9514,145.81,22.27
better,InformationComparison,25847,14926,145.31,34.94
number,ExpertVocabulary,25800,12676,145.04,29.67
parents,CharacterTypes,25798,9016,145.03,21.10
the same,InformationComparison,25325,14981,142.37,35.07
knew,ConfidenceHigh,25115,11793,141.19,27.61
including,Reasoning,24981,13577,140.44,31.78
", all",Reasoning,24830,14016,139.59,32.81
same,InformationComparison,24462,14293,137.52,33.46
wife,CharacterTypes,24334,9825,136.80,23.00
person,CharacterTypes,24274,12117,136.46,28.36
%,InformationQuantities,24229,3625,136.21,8.49
read,ExpertVocabulary,23941,11369,134.59,26.61
we have,ReaderDirectedMetadiscourseFP,23925,12026,134.50,28.15
. these,ReaderDirectedMetadiscourse,23906,12755,134.39,29.86
less,InformationComparison,23891,12940,134.31,30.29
".
and",Reasoning,23890,9063,134.30,21.21
i want,ReaderDirectedMetadiscourseFP,23789,10510,133.74,24.60
sir,CharacterTypes,23077,5345,129.73,12.51
five,InformationQuantities,23028,12797,129.46,29.96
point,ExpertVocabulary,22750,12311,127.90,28.82
area,ExpertVocabulary,22703,10818,127.63,25.32
we can,ConfidenceHedged,22505,11701,126.52,27.39
either,ReaderDirectedMetadiscourse,22359,13259,125.70,31.04
of course,ConfidenceHigh,21926,11953,123.26,27.98
right ?,ReaderDirectedMetadiscourse,21916,7356,123.21,17.22
son,CharacterTypes,21796,8384,122.53,19.63
human,ExpertVocabulary,21564,8546,121.23,20.00
bill,ExpertVocabulary,21158,7087,118.95,16.59
itself,ExpertVocabulary,21064,11198,118.42,26.21
guess,ConfidenceHedged,21036,10342,118.26,24.21
stuff,InformationQuantities,20964,9998,117.86,23.40
dr .,CharacterTypes,20781,5562,116.83,13.02
local,ExpertVocabulary,20582,9669,115.71,22.63
baby,CharacterTypes,20302,6580,114.13,15.40
especially,Reasoning,20204,12455,113.58,29.15
military,CharacterTypes,19613,5501,110.26,12.88
dad,CharacterTypes,19477,5197,109.50,12.17
3,InformationQuantities,19459,8094,109.39,18.95
10,InformationQuantities,19439,10107,109.28,23.66
words,ExpertVocabulary,19426,9516,109.21,22.28
economic,ExpertVocabulary,19387,6143,108.99,14.38
system,ExpertVocabulary,19277,8257,108.37,19.33
away,ExpertVocabulary,19146,11078,107.63,25.93
girl,CharacterTypes,19074,7581,107.23,17.75
perhaps,ConfidenceHedged,19043,10838,107.06,25.37
voice,ExpertVocabulary,18941,7894,106.48,18.48
. however,ReaderDirectedMetadiscourse,18768,8376,105.51,19.61
may be,ConfidenceHedged,18761,10495,105.47,24.57
". so ,",Reasoning,18739,7426,105.35,17.38
simply,ConfidenceHigh,18729,11119,105.29,26.03
americans,CharacterTypes,18681,7058,105.02,16.52
child,CharacterTypes,18630,7412,104.73,17.35
though,ReaderDirectedMetadiscourse,18618,10172,104.67,23.81
", like",InformationComparison,18599,11582,104.56,27.11
class,ExpertVocabulary,18519,7750,104.11,18.14
teachers,CharacterTypes,18352,3318,103.17,7.77
idea,ExpertVocabulary,18318,10878,102.98,25.46
service,ExpertVocabulary,18158,8052,102.08,18.85
i could,ConfidenceHedged,18052,9147,101.48,21.41
model,ExpertVocabulary,17814,5725,100.15,13.40
the other,ExpertVocabulary,17792,11334,100.02,26.53
boy,CharacterTypes,17790,7638,100.01,17.88
situation,ExpertVocabulary,17566,9732,98.75,22.78
can,ConfidenceHedged,17256,11335,97.01,26.53
", however ,",ReaderDirectedMetadiscourse,16999,8807,95.56,20.62
half,InformationQuantities,16817,10524,94.54,24.63
although,ReaderDirectedMetadiscourse,16780,9623,94.33,22.53
yet,Reasoning,16690,11222,93.83,26.27
", though",ReaderDirectedMetadiscourse,16384,9574,92.11,22.41
data,ExpertVocabulary,16352,5000,91.93,11.70
word,ExpertVocabulary,16199,8850,91.07,20.72
services,ExpertVocabulary,16129,5743,90.67,13.44
level,ExpertVocabulary,15963,8070,89.74,18.89
5,InformationQuantities,15912,7478,89.45,17.50
to see,PurposePlan,15840,10636,89.05,24.90
energy,ExpertVocabulary,15813,5917,88.90,13.85
art,ExpertVocabulary,15797,4881,88.81,11.43
student,CharacterTypes,15743,4938,88.50,11.56
girls,CharacterTypes,15702,5912,88.27,13.84
i said,ReaderDirectedMetadiscourseFP,15596,7433,87.68,17.40
mom,CharacterTypes,15575,5064,87.56,11.85
4,InformationQuantities,15555,6973,87.45,16.32
six,InformationQuantities,15537,9626,87.35,22.53
position,ExpertVocabulary,15527,8517,87.29,19.94
20,InformationQuantities,15493,9140,87.10,21.40
article,ExpertVocabulary,15432,6499,86.76,15.21
may,ConfidenceHedged,15416,9036,86.67,21.15
such a,ExpertVocabulary,15195,10115,85.42,23.68
could be,ConfidenceHedged,15159,10230,85.22,23.95
role,ExpertVocabulary,15133,7639,85.07,17.88
"in fact ,",ReaderDirectedMetadiscourse,15079,9671,84.77,22.64
form,ExpertVocabulary,14921,8081,83.88,18.92
behavior,ExpertVocabulary,14845,5508,83.46,12.89
technology,ExpertVocabulary,14803,5249,83.22,12.29
always,ConfidenceHigh,14801,9900,83.21,23.17
because the,Reasoning,14760,9940,82.98,23.27
patients,CharacterTypes,14729,2743,82.80,6.42
doctor,CharacterTypes,14522,5493,81.64,12.86
areas,ExpertVocabulary,14461,6873,81.30,16.09
thus,Reasoning,14228,5820,79.99,13.62
part of the,ExpertVocabulary,13958,9721,78.47,22.76
cost,ExpertVocabulary,13917,7177,78.24,16.80
boys,CharacterTypes,13807,5855,77.62,13.71
therefore,Reasoning,13802,6749,77.59,15.80
include,Reasoning,13767,8214,77.40,19.23
low,ExpertVocabulary,13709,7324,77.07,17.14
language,ExpertVocabulary,13579,5613,76.34,13.14
use of,ExpertVocabulary,13578,6328,76.33,14.81
billion,InformationQuantities,13548,4764,76.16,11.15
as he,Reasoning,13535,6756,76.09,15.81
nature,ExpertVocabulary,13473,6839,75.74,16.01
general,ExpertVocabulary,13467,6598,75.71,15.44
science,ExpertVocabulary,13402,4477,75.34,10.48
he said,CitationNeutral,13202,7167,74.22,16.78
sex,ExpertVocabulary,13050,4543,73.36,10.63
could,ConfidenceHedged,13042,9017,73.32,21.11
behind,ExpertVocabulary,12813,8699,72.03,20.36
30,InformationQuantities,12743,7736,71.64,18.11
mrs .,CharacterTypes,12719,3408,71.50,7.98
hard,ExpertVocabulary,12712,8175,71.46,19.14
certain,ConfidenceHigh,12676,8229,71.26,19.26
the way,ExpertVocabulary,12557,8481,70.59,19.85
cases,ExpertVocabulary,12532,5475,70.45,12.82
defense,ExpertVocabulary,12510,5315,70.33,12.44
full,ExpertVocabulary,12481,8409,70.17,19.68
matter,ExpertVocabulary,12434,7823,69.90,18.31
whole,ExpertVocabulary,12422,8424,69.83,19.72
there's a,ConfidenceHigh,12409,8025,69.76,18.79
brother,CharacterTypes,12375,5423,69.57,12.69
12,InformationQuantities,12364,7208,69.51,16.87
stories,ExpertVocabulary,12349,6773,69.42,15.85
according to,CitationNeutral,12338,7660,69.36,17.93
older,InformationComparison,12278,6664,69.02,15.60
environment,ExpertVocabulary,12268,5855,68.97,13.71
age,ExpertVocabulary,12196,6810,68.56,15.94
side,ExpertVocabulary,12174,7853,68.44,18.38
individuals,CharacterTypes,12168,5231,68.41,12.24
king,CharacterTypes,12109,4655,68.07,10.90
and all,Reasoning,12094,8634,67.99,20.21
teacher,CharacterTypes,12068,3852,67.84,9.02
particularly,Reasoning,12054,7797,67.76,18.25
because of,Reasoning,12042,8482,67.70,19.85
instead of,ReaderDirectedMetadiscourse,11995,8398,67.43,19.66
families,ExpertVocabulary,11929,5916,67.06,13.85
officials,CharacterTypes,11921,5086,67.02,11.91
possible,ConfidenceHedged,11843,8075,66.58,18.90
kid,CharacterTypes,11784,5450,66.25,12.76
workers,CharacterTypes,11599,4185,65.21,9.80
a man,CharacterTypes,11586,6893,65.13,16.14
as they,Reasoning,11557,8000,64.97,18.73
message,ExpertVocabulary,11549,6595,64.93,15.44
daughter,CharacterTypes,11548,5643,64.92,13.21
than the,InformationComparison,11454,8212,64.39,19.22
higher,InformationComparison,11451,6105,64.38,14.29
ideas,ExpertVocabulary,11427,6220,64.24,14.56
"so ,",Reasoning,11407,6475,64.13,15.16
a couple,ExpertVocabulary,11377,7708,63.96,18.04
it's the,ConfidenceHigh,11324,7741,63.66,18.12
15,InformationQuantities,11295,6683,63.50,15.64
points,ExpertVocabulary,11246,5682,63.22,13.30
english,ExpertVocabulary,11215,5063,63.05,11.85
so that,Reasoning,11199,7751,62.96,18.14
past,ExpertVocabulary,11187,7563,62.89,17.70
leaders,CharacterTypes,11161,5049,62.74,11.82
results,Reasoning,11151,5463,62.69,12.79
ones,InformationQuantities,11132,7690,62.58,18.00
study,ExpertVocabulary,11129,5231,62.56,12.24
movement,ExpertVocabulary,11103,5418,62.42,12.68
section,ExpertVocabulary,11092,5743,62.36,13.44
based on,Reasoning,11082,6713,62.30,15.71
say that,CitationNeutral,11071,7648,62.24,17.90
might be,ConfidenceHedged,11028,7989,62.00,18.70
heart,ExpertVocabulary,10981,6350,61.73,14.86
6,InformationQuantities,10913,5678,61.35,13.29
certainly,ConfidenceHigh,10880,7348,61.16,17.20
republicans,CharacterTypes,10876,2992,61.14,7.00
clearly,ConfidenceHigh,10873,7368,61.13,17.25
religious,CharacterTypes,10868,3746,61.10,8.77
. although,ReaderDirectedMetadiscourse,10849,6395,60.99,14.97
seven,InformationQuantities,10798,6931,60.70,16.22
obviously,ConfidenceHigh,10742,6962,60.39,16.30
players,CharacterTypes,10716,3532,60.24,8.27
female,CharacterTypes,10706,4278,60.19,10.01
market,ExpertVocabulary,10701,4638,60.16,10.86
quality,ExpertVocabulary,10688,5351,60.09,12.53
further,ReaderDirectedMetadiscourse,10639,6971,59.81,16.32
couple,ExpertVocabulary,10556,7312,59.34,17.12
the man,CharacterTypes,10513,5768,59.10,13.50
evidence,Reasoning,10470,4770,58.86,11.17
democrats,CharacterTypes,10386,2981,58.39,6.98
male,CharacterTypes,10336,4150,58.11,9.71
central,ExpertVocabulary,10264,5566,57.70,13.03
they can,ConfidenceHedged,10237,7168,57.55,16.78
50,InformationQuantities,10219,6439,57.45,15.07
version,ExpertVocabulary,10179,5903,57.22,13.82
this was,ReaderDirectedMetadiscourse,10117,7103,56.88,16.63
thousands,InformationQuantities,10096,6531,56.76,15.29
participants,CharacterTypes,10093,2284,56.74,5.35
too .,ReaderDirectedMetadiscourse,10083,5945,56.68,13.92
court,ExpertVocabulary,10001,4123,56.22,9.65
conditions,ExpertVocabulary,9979,4831,56.10,11.31
cool,ExpertVocabulary,9966,5718,56.03,13.38
numbers,ExpertVocabulary,9946,5738,55.91,13.43
species,ExpertVocabulary,9889,2305,55.59,5.40
the people,CharacterTypes,9879,6252,55.54,14.63
brain,ExpertVocabulary,9867,4214,55.47,9.86
like this,InformationComparison,9862,6823,55.44,15.97
11,InformationQuantities,9859,5821,55.43,13.63
sister,CharacterTypes,9825,4586,55.23,10.74
single,ExpertVocabulary,9769,6642,54.92,15.55
mostly,ConfidenceHedged,9765,7057,54.90,16.52
mark,ExpertVocabulary,9736,5024,54.73,11.76
100,InformationQuantities,9698,6092,54.52,14.26
8,InformationQuantities,9694,5095,54.50,11.93
status,ExpertVocabulary,9589,4792,53.91,11.22
professor,CharacterTypes,9545,4415,53.66,10.33
global,ExpertVocabulary,9496,3646,53.38,8.53
chinese,CharacterTypes,9452,2569,53.14,6.01
", these",ReaderDirectedMetadiscourse,9388,6766,52.78,15.84
approach,ExpertVocabulary,9357,5445,52.60,12.75
cultural,ExpertVocabulary,9351,3464,52.57,8.11
".
so",Reasoning,9303,5207,52.30,12.19
7,InformationQuantities,9245,4992,51.97,11.69
".
this",ReaderDirectedMetadiscourse,9228,6531,51.88,15.29
analysis,Reasoning,9170,4001,51.55,9.37
i see,ReaderDirectedMetadiscourseFP,9169,5991,51.55,14.02
physical,ExpertVocabulary,9168,4885,51.54,11.43
that's why,Reasoning,9150,6240,51.44,14.61
eight,InformationQuantities,9133,6254,51.34,14.64
statement,ExpertVocabulary,9119,5250,51.27,12.29
apparently,Reasoning,9088,6352,51.09,14.87
greater,InformationComparison,9075,5377,51.02,12.59
even if,Reasoning,9054,6553,50.90,15.34
similar,InformationComparison,9028,6035,50.75,14.13
in .,ExpertVocabulary,8962,5799,50.38,13.57
never,ConfidenceHigh,8922,6595,50.16,15.44
may have,ConfidenceHedged,8905,6557,50.06,15.35
term,ExpertVocabulary,8890,5066,49.98,11.86
knowledge,ConfidenceHigh,8791,4165,49.42,9.75
course,ExpertVocabulary,8789,4247,49.41,9.94
mary,CharacterTypes,8780,2755,49.36,6.45
animals,ExpertVocabulary,8771,3529,49.31,8.26
senator,CharacterTypes,8757,2443,49.23,5.72
", of course ,",ConfidenceHigh,8738,6045,49.12,14.15
sense,ExpertVocabulary,8727,6071,49.06,14.21
folks,CharacterTypes,8722,4974,49.03,11.64
argument,ExpertVocabulary,8669,4368,48.74,10.22
said that,CitationNeutral,8627,5968,48.50,13.97
network,ExpertVocabulary,8619,4099,48.45,9.60
normal,ExpertVocabulary,8614,5361,48.43,12.55
know that,ConfidenceHigh,8583,6367,48.25,14.90
address,ExpertVocabulary,8583,5378,48.25,12.59
he could,ConfidenceHedged,8575,5095,48.21,11.93
direction,ExpertVocabulary,8566,5938,48.16,13.90
levels,ExpertVocabulary,8528,4271,47.94,10.00
worth,ExpertVocabulary,8527,6040,47.94,14.14
british,CharacterTypes,8479,3572,47.67,8.36
speech,ExpertVocabulary,8478,3830,47.66,8.97
fat,CharacterTypes,8461,3369,47.57,7.89
reality,ExpertVocabulary,8406,4826,47.26,11.30
most of the,ConfidenceHedged,8400,6397,47.22,14.97
seemed,ConfidenceHedged,8394,5236,47.19,12.26
captain,CharacterTypes,8389,2285,47.16,5.35
items,ExpertVocabulary,8354,3457,46.96,8.09
25,InformationQuantities,8343,5281,46.90,12.36
as she,Reasoning,8301,4043,46.67,9.46
character,ExpertVocabulary,8298,3869,46.65,9.06
multiple,ExpertVocabulary,8279,4706,46.54,11.02
effect,Reasoning,8267,4739,46.48,11.09
longer,InformationComparison,8265,6254,46.46,14.64
. those,ReaderDirectedMetadiscourse,8236,6432,46.30,15.06
debate,ExpertVocabulary,8228,4023,46.26,9.42
material,ExpertVocabulary,8223,4484,46.23,10.50
ten,InformationQuantities,8207,5320,46.14,12.45
type of,ExpertVocabulary,8192,5384,46.05,12.60
complex,ExpertVocabulary,8183,4935,46.00,11.55
neither,ReaderDirectedMetadiscourse,8178,6124,45.97,14.34
differences,InformationComparison,8175,3311,45.96,7.75
14,InformationQuantities,8171,4956,45.94,11.60
french,CharacterTypes,8140,3531,45.76,8.27
it is a,ConfidenceHigh,8128,5904,45.69,13.82
employees,CharacterTypes,8065,3381,45.34,7.91
larger,InformationComparison,8053,5468,45.27,12.80
nor,ReaderDirectedMetadiscourse,8049,5276,45.25,12.35
meaning,ExpertVocabulary,8037,4744,45.18,11.10
rather,ReaderDirectedMetadiscourse,8020,5621,45.09,13.16
date,ExpertVocabulary,8007,4393,45.01,10.28
models,Reasoning,7951,2924,44.70,6.84
player,CharacterTypes,7943,3563,44.65,8.34
16,InformationQuantities,7928,4880,44.57,11.42
13,InformationQuantities,7926,4849,44.56,11.35
0,InformationQuantities,7875,1640,44.27,3.84
trial,ExpertVocabulary,7868,2984,44.23,6.99
it seems,ConfidenceHedged,7846,5837,44.11,13.66
deep,ExpertVocabulary,7846,5521,44.11,12.92
hundred,InformationQuantities,7844,4985,44.10,11.67
we could,ConfidenceHedged,7843,5436,44.09,12.72
level of,ExpertVocabulary,7833,4745,44.04,11.11
knows,ConfidenceHigh,7829,5513,44.01,12.90
text,ExpertVocabulary,7778,3087,43.73,7.23
concept,ExpertVocabulary,7766,4311,43.66,10.09
development,ExpertVocabulary,7758,3730,43.61,8.73
tiny,CharacterTypes,7730,5071,43.46,11.87
may not,ConfidenceHedged,7719,5714,43.39,13.38
40,InformationQuantities,7717,5243,43.38,12.27
. like,InformationComparison,7706,5764,43.32,13.49
millions,InformationQuantities,7616,5042,42.82,11.80
base,ExpertVocabulary,7561,4576,42.51,10.71
terms,ExpertVocabulary,7541,4569,42.39,10.70
voters,CharacterTypes,7535,2524,42.36,5.91
coach,CharacterTypes,7510,2344,42.22,5.49
seems,ConfidenceHedged,7495,5512,42.14,12.90
sense of,ExpertVocabulary,7492,5066,42.12,11.86
natural,ExpertVocabulary,7435,4494,41.80,10.52
present,ExpertVocabulary,7434,5116,41.79,11.98
solution,ExpertVocabulary,7427,4239,41.75,9.92
the more,InformationComparison,7415,4936,41.69,11.55
i think that,ReaderDirectedMetadiscourseFP,7409,4185,41.65,9.80
hundreds,InformationQuantities,7404,5462,41.62,12.79
plus,ExpertVocabulary,7376,5103,41.47,11.95
18,InformationQuantities,7360,4629,41.38,10.84
difference,InformationComparison,7350,4992,41.32,11.69
instead,ReaderDirectedMetadiscourse,7317,5611,41.13,13.13
just as,InformationComparison,7310,5665,41.10,13.26
24,InformationQuantities,7310,4622,41.10,10.82
as well .,ReaderDirectedMetadiscourse,7276,5620,40.90,13.16
like a,InformationComparison,7237,5286,40.68,12.37
"also ,",ReaderDirectedMetadiscourse,7229,5212,40.64,12.20
", though ,",ReaderDirectedMetadiscourse,7227,5260,40.63,12.31
patient,CharacterTypes,7224,2861,40.61,6.70
. yet,Reasoning,7216,4866,40.57,11.39
generally,ConfidenceHedged,7207,4831,40.52,11.31
doctors,CharacterTypes,7201,3297,40.48,7.72
younger,InformationComparison,7200,4714,40.48,11.03
on .,ExpertVocabulary,7193,4983,40.44,11.66
because of the,Reasoning,7191,5570,40.43,13.04
a woman,CharacterTypes,7168,4628,40.30,10.83
identity,ExpertVocabulary,7161,2821,40.26,6.60
director,CharacterTypes,7147,3947,40.18,9.24
vol .,ExpertVocabulary,7118,533,40.02,1.25
relatively,InformationComparison,7114,4612,39.99,10.80
gender,ExpertVocabulary,7111,2059,39.98,4.82
seem,ConfidenceHedged,7101,5568,39.92,13.03
secretary,CharacterTypes,7085,3295,39.83,7.71
clean,ExpertVocabulary,7081,4685,39.81,10.97
african,CharacterTypes,7079,2265,39.80,5.30
structure,ExpertVocabulary,7039,3763,39.57,8.81
individual,CharacterTypes,7036,4005,39.55,9.38
the fact that,ConfidenceHigh,7026,5352,39.50,12.53
sides,ExpertVocabulary,7022,4914,39.48,11.50
she said,CitationNeutral,7014,3951,39.43,9.25
leader,CharacterTypes,7008,4206,39.40,9.85
or even,ReaderDirectedMetadiscourse,6993,5396,39.31,12.63
target,PurposePlan,6988,3501,39.29,8.20
due to,Reasoning,6985,4344,39.27,10.17
materials,ExpertVocabulary,6976,3104,39.22,7.27
the idea,ExpertVocabulary,6975,5059,39.21,11.84
scene,ExpertVocabulary,6972,3916,39.20,9.17
forward,ExpertVocabulary,6963,4613,39.14,10.80
reason,Reasoning,6955,5023,39.10,11.76
characters,CharacterTypes,6947,2623,39.05,6.14
otherwise,ReaderDirectedMetadiscourse,6928,5331,38.95,12.48
classes,ExpertVocabulary,6925,3503,38.93,8.20
users,ExpertVocabulary,6903,2010,38.81,4.71
software,ExpertVocabulary,6891,2179,38.74,5.10
uncle,CharacterTypes,6884,2315,38.70,5.42
adults,CharacterTypes,6873,3340,38.64,7.82
machine,ExpertVocabulary,6868,3725,38.61,8.72
fully,ConfidenceHigh,6805,5038,38.26,11.79
subject,ExpertVocabulary,6799,3945,38.22,9.23
all this,Reasoning,6786,5094,38.15,11.92
largest,InformationComparison,6764,4611,38.03,10.79
senior,CharacterTypes,6755,4333,37.98,10.14
measures,ExpertVocabulary,6754,2960,37.97,6.93
parties,ExpertVocabulary,6738,3636,37.88,8.51
17,InformationQuantities,6728,4167,37.82,9.75
japanese,CharacterTypes,6721,1907,37.78,4.46
animal,ExpertVocabulary,6712,3348,37.73,7.84
bigger,InformationComparison,6705,4950,37.69,11.59
bodies,ExpertVocabulary,6702,3906,37.68,9.14
via,Reasoning,6694,4142,37.63,9.70
mission,PurposePlan,6677,3597,37.54,8.42
foundation,ExpertVocabulary,6675,3867,37.53,9.05
in all,Reasoning,6667,5218,37.48,12.21
candidate,CharacterTypes,6646,2829,37.36,6.62
scientists,CharacterTypes,6644,2602,37.35,6.09
gold,ExpertVocabulary,6607,3228,37.14,7.56
humans,ExpertVocabulary,6601,2864,37.11,6.70
lady,CharacterTypes,6592,3620,37.06,8.47
perspective,ExpertVocabulary,6589,4164,37.04,9.75
9,InformationQuantities,6573,3945,36.95,9.23
universe,ExpertVocabulary,6542,2650,36.78,6.20
might have,ConfidenceHedged,6541,5155,36.77,12.07
the police,CharacterTypes,6541,3242,36.77,7.59
both the,ReaderDirectedMetadiscourse,6538,4716,36.76,11.04
the story,ExpertVocabulary,6521,4147,36.66,9.71
biggest,InformationComparison,6507,4976,36.58,11.65
i found,MethodsResultsDiscussion,6441,4623,36.21,10.82
"indeed ,",ReaderDirectedMetadiscourse,6429,4023,36.14,9.42
sources,ExpertVocabulary,6419,3457,36.09,8.09
cell,ExpertVocabulary,6410,2107,36.04,4.93
jews,CharacterTypes,6396,1488,35.96,3.48
might,ConfidenceHedged,6390,5110,35.92,11.96
could have,ConfidenceHedged,6387,5020,35.91,11.75
agent,CharacterTypes,6379,2649,35.86,6.20
source,ExpertVocabulary,6374,3466,35.83,8.11
. and so,Reasoning,6370,3574,35.81,8.37
it all,Reasoning,6366,4982,35.79,11.66
everywhere,Reasoning,6361,4864,35.76,11.39
nine,InformationQuantities,6354,4472,35.72,10.47
i say,ReaderDirectedMetadiscourseFP,6347,4159,35.68,9.74
daddy,CharacterTypes,6346,2375,35.68,5.56
literature,ExpertVocabulary,6331,2997,35.59,7.02
drugs,ExpertVocabulary,6290,2894,35.36,6.77
rule,ExpertVocabulary,6285,3406,35.33,7.97
customers,CharacterTypes,6266,2954,35.23,6.91
gay,CharacterTypes,6257,2020,35.18,4.73
focus,ExpertVocabulary,6252,4514,35.15,10.57
known,ConfidenceHigh,6215,4890,34.94,11.45
unit,ExpertVocabulary,6212,3178,34.92,7.44
russian,CharacterTypes,6210,2079,34.91,4.87
ms .,CharacterTypes,6209,2186,34.91,5.12
readers,ExpertVocabulary,6191,2926,34.80,6.85
skin,ExpertVocabulary,6178,3540,34.73,8.29
just like,InformationComparison,6168,4630,34.68,10.84
weight,ExpertVocabulary,6164,3258,34.65,7.63
condition,ExpertVocabulary,6159,3446,34.62,8.07
adult,CharacterTypes,6142,3459,34.53,8.10
but it,ReaderDirectedMetadiscourse,6133,4860,34.48,11.38
lawyer,CharacterTypes,6127,3208,34.44,7.51
definitely,ConfidenceHigh,6119,4432,34.40,10.37
educational,ExpertVocabulary,6114,2448,34.37,5.73
people's,CharacterTypes,6103,4307,34.31,10.08
governor,CharacterTypes,6101,2317,34.30,5.42
disease,ExpertVocabulary,6100,2705,34.29,6.33
like the,InformationComparison,6071,4953,34.13,11.59
better than,InformationComparison,6068,4780,34.11,11.19
candidates,CharacterTypes,6040,2377,33.96,5.56
", since",Reasoning,6038,4457,33.94,10.43
know what,ConfidenceHigh,6023,4655,33.86,10.90
60,InformationQuantities,6015,4194,33.82,9.82
overall,Reasoning,5983,3852,33.64,9.02
boss,CharacterTypes,5983,3217,33.64,7.53
officer,CharacterTypes,5937,2665,33.38,6.24
smaller,InformationComparison,5935,4264,33.37,9.98
link,ExpertVocabulary,5916,3410,33.26,7.98
factors,ExpertVocabulary,5912,2641,33.24,6.18
all that,Reasoning,5909,4762,33.22,11.15
artist,CharacterTypes,5866,2502,32.98,5.86
a more,InformationComparison,5861,4597,32.95,10.76
types of,ExpertVocabulary,5841,3536,32.84,8.28
saying that,CitationNeutral,5828,4365,32.76,10.22
background,ExpertVocabulary,5822,3838,32.73,8.98
active,ExpertVocabulary,5817,3668,32.70,8.59
compared to,InformationComparison,5805,3644,32.63,8.53
pressure,ExpertVocabulary,5771,3759,32.44,8.80
youth,ExpertVocabulary,5771,2694,32.44,6.31
dude,CharacterTypes,5722,2086,32.17,4.88
manager,CharacterTypes,5699,3284,32.04,7.69
